.Código de cores de resistores
[cols="1,1,1,1", options="header"]
|===
| Cor       | Valor | Multiplicador | Tolerância
| Preto     | 0     | x 10^0^       | -
| Marrom    | 1     | x 10^1^       | 1%
| Vermelho  | 2     | x 10^2^       | 2%
| Laranja   | 3     | x 10^3^       | -
| Amarelo   | 4     | x 10^4^       | -
| Verde     | 5     | x 10^5^       | 0.5%
| Azul      | 6     | x 10^6^       | 0.25%
| Violeta   | 7     | x 10^7^       | 0.1%
| Cinza     | 8     | x 10^8^       | 0.05%
| Branco    | 9     | x 10^9^       | -
| Ouro      | -     | x 10^-1^      | 5%
| Prata     | -     | x 10^-2^      | 10%
| Sem cor   | -     |               | 20%
|===
